"","phi","n","variable","value"
"1",-0.1,100,"phi_iar",-0.221260477236233
"2",-0.1,100,"phi_iar",-0.118633574121433
"3",-0.1,100,"phi_iar",0.420080019045367
"4",-0.1,100,"phi_iar",-0.317752858199864
"5",-0.1,100,"phi_iar",-0.297119718787028
"6",-0.1,100,"phi_iar",-0.273577588561052
"7",-0.1,100,"phi_iar",-0.152389456088438
"8",-0.1,100,"phi_iar",-0.441042674990104
"9",-0.1,100,"phi_iar",0.201987929169396
"10",-0.1,100,"phi_iar",-0.222101760470822
"11",-0.1,100,"phi_iar",0.104653375221421
"12",-0.1,100,"phi_iar",0.270991012394326
"13",-0.1,100,"phi_iar",0.0180520473280063
"14",-0.1,100,"phi_iar",0.0221819435975516
"15",-0.1,100,"phi_iar",-0.270871197837821
"16",-0.1,100,"phi_iar",-0.292070561349762
"17",-0.1,100,"phi_iar",-0.0587752327074288
"18",-0.1,100,"phi_iar",-0.560950335093392
"19",-0.1,100,"phi_iar",0.141546275388838
"20",-0.1,100,"phi_iar",-0.0910004920057766
"21",-0.1,100,"phi_iar",0.385124469652355
"22",-0.1,100,"phi_iar",-0.388067757874216
"23",-0.1,100,"phi_iar",0.391485440664369
"24",-0.1,100,"phi_iar",0.0901861983965548
"25",-0.1,100,"phi_iar",0.204384698654183
"26",-0.1,100,"phi_iar",-0.329733228498359
"27",-0.1,100,"phi_iar",-0.146688536366574
"28",-0.1,100,"phi_iar",-0.230449839680343
"29",-0.1,100,"phi_iar",-0.009586950017876
"30",-0.1,100,"phi_iar",0.359797268003088
"31",-0.1,100,"phi_iar",0.351218567565857
"32",-0.1,100,"phi_iar",-0.0759650940031558
"33",-0.1,100,"phi_iar",0.0816194991621018
"34",-0.1,100,"phi_iar",-0.0770473413612948
"35",-0.1,100,"phi_iar",-0.269232187580493
"36",-0.1,100,"phi_iar",-0.157539020508534
"37",-0.1,100,"phi_iar",-0.183443265362444
"38",-0.1,100,"phi_iar",-0.230601074059656
"39",-0.1,100,"phi_iar",0.458465380672107
"40",-0.1,100,"phi_iar",-0.167206923745287
"41",-0.1,100,"phi_iar",-0.0833846166444085
"42",-0.1,100,"phi_iar",-0.0183786988651322
"43",-0.1,100,"phi_iar",-0.260259964974634
"44",-0.1,100,"phi_iar",-0.100285532633783
"45",-0.1,100,"phi_iar",-0.11863074244656
"46",-0.1,100,"phi_iar",0.0251392479079655
"47",-0.1,100,"phi_iar",-0.409859631524039
"48",-0.1,100,"phi_iar",-0.286421736036893
"49",-0.1,100,"phi_iar",0.341066694459763
"50",-0.1,100,"phi_iar",0.187340684166907
"51",-0.1,100,"phi_iar",0.137931859810484
"52",-0.1,100,"phi_iar",-0.268907820390523
"53",-0.1,100,"phi_iar",-0.348045022339876
"54",-0.1,100,"phi_iar",-0.0831472791420008
"55",-0.1,100,"phi_iar",-0.210565336793252
"56",-0.1,100,"phi_iar",0.393882554793834
"57",-0.1,100,"phi_iar",-0.127777440305218
"58",-0.1,100,"phi_iar",-0.0516712620357255
"59",-0.1,100,"phi_iar",-0.0619120717669261
"60",-0.1,100,"phi_iar",0.317211266317869
"61",-0.1,100,"phi_iar",-0.24389577651705
"62",-0.1,100,"phi_iar",-0.247397158668754
"63",-0.1,100,"phi_iar",-0.244733836952294
"64",-0.1,100,"phi_iar",0.00041245461023423
"65",-0.1,100,"phi_iar",-0.096442261577886
"66",-0.1,100,"phi_iar",-0.346707449012622
"67",-0.1,100,"phi_iar",-0.00288670059333576
"68",-0.1,100,"phi_iar",0.362884422387534
"69",-0.1,100,"phi_iar",-0.437442663164718
"70",-0.1,100,"phi_iar",-0.0491626617615073
"71",-0.1,100,"phi_iar",-0.342673272090065
"72",-0.1,100,"phi_iar",0.27024395144511
"73",-0.1,100,"phi_iar",-0.419967184726444
"74",-0.1,100,"phi_iar",0.0348510270654922
"75",-0.1,100,"phi_iar",0.0570686892975861
"76",-0.1,100,"phi_iar",0.587618045277324
"77",-0.1,100,"phi_iar",-0.202848419646743
"78",-0.1,100,"phi_iar",0.117480455883231
"79",-0.1,100,"phi_iar",0.415961469571529
"80",-0.1,100,"phi_iar",0.0481319878658856
"81",-0.1,100,"phi_iar",-0.355868272429454
"82",-0.1,100,"phi_iar",-0.0911682965983915
"83",-0.1,100,"phi_iar",-0.14333893232805
"84",-0.1,100,"phi_iar",-0.314712542520671
"85",-0.1,100,"phi_iar",-0.172310514312802
"86",-0.1,100,"phi_iar",0.106181697436135
"87",-0.1,100,"phi_iar",-0.184786993094505
"88",-0.1,100,"phi_iar",0.193594776510614
"89",-0.1,100,"phi_iar",-0.316190383441638
"90",-0.1,100,"phi_iar",0.024757345613981
"91",-0.1,100,"phi_iar",0.231574945474299
"92",-0.1,100,"phi_iar",-0.424599315455277
"93",-0.1,100,"phi_iar",-0.156552502191132
"94",-0.1,100,"phi_iar",0.224882784746005
"95",-0.1,100,"phi_iar",0.275362135816118
"96",-0.1,100,"phi_iar",-0.10472312185854
"97",-0.1,100,"phi_iar",-0.0344222396988681
"98",-0.1,100,"phi_iar",0.0157338098189644
"99",-0.1,100,"phi_iar",-0.319226030753011
"100",-0.1,100,"phi_iar",-0.0910338341885713
"101",-0.1,100,"phi_iar",0.0559296278085719
"102",-0.1,100,"phi_iar",0.403143303470575
"103",-0.1,100,"phi_iar",-0.0804239101550273
"104",-0.1,100,"phi_iar",0.200209613592639
"105",-0.1,100,"phi_iar",0.0456420579027231
"106",-0.1,100,"phi_iar",0.255452349390913
"107",-0.1,100,"phi_iar",-0.131065209202207
"108",-0.1,100,"phi_iar",0.162437171314519
"109",-0.1,100,"phi_iar",-0.308356987262149
"110",-0.1,100,"phi_iar",-0.119466090970491
"111",-0.1,100,"phi_iar",0.0588185927607879
"112",-0.1,100,"phi_iar",0.337674956083389
"113",-0.1,100,"phi_iar",-0.25898185604397
"114",-0.1,100,"phi_iar",-0.384066938994491
"115",-0.1,100,"phi_iar",-0.28024471426393
"116",-0.1,100,"phi_iar",-0.0155468036538722
"117",-0.1,100,"phi_iar",-0.0131172806596543
"118",-0.1,100,"phi_iar",0.222966991186218
"119",-0.1,100,"phi_iar",-0.445884602924333
"120",-0.1,100,"phi_iar",-0.106045725968528
"121",-0.1,100,"phi_iar",-0.111546987779708
"122",-0.1,100,"phi_iar",-0.447731255383138
"123",-0.1,100,"phi_iar",0.0586716167178624
"124",-0.1,100,"phi_iar",-0.395239196572545
"125",-0.1,100,"phi_iar",-0.368248818740339
"126",-0.1,100,"phi_iar",0.519651352283242
"127",-0.1,100,"phi_iar",-0.187030552015764
"128",-0.1,100,"phi_iar",-0.17918124733071
"129",-0.1,100,"phi_iar",-0.0853335729052847
"130",-0.1,100,"phi_iar",-0.45365797496404
"131",-0.1,100,"phi_iar",-0.234654226579917
"132",-0.1,100,"phi_iar",0.252017414187915
"133",-0.1,100,"phi_iar",0.454522478116098
"134",-0.1,100,"phi_iar",-0.0171604466767208
"135",-0.1,100,"phi_iar",-0.106719159144705
"136",-0.1,100,"phi_iar",0.390588474937908
"137",-0.1,100,"phi_iar",-0.135500635348739
"138",-0.1,100,"phi_iar",-0.455558365776046
"139",-0.1,100,"phi_iar",-0.347054040879484
"140",-0.1,100,"phi_iar",0.0821532241862897
"141",-0.1,100,"phi_iar",-0.463058050441977
"142",-0.1,100,"phi_iar",0.104970016484138
"143",-0.1,100,"phi_iar",-0.38051595048297
"144",-0.1,100,"phi_iar",-0.221288718565423
"145",-0.1,100,"phi_iar",-0.119425477715013
"146",-0.1,100,"phi_iar",0.0507977500894242
"147",-0.1,100,"phi_iar",-0.206713870465293
"148",-0.1,100,"phi_iar",-0.226630090277585
"149",-0.1,100,"phi_iar",-0.219406689768933
"150",-0.1,100,"phi_iar",0.236025855346049
"151",-0.1,100,"phi_iar",-0.204132048791938
"152",-0.1,100,"phi_iar",0.232568050754653
"153",-0.1,100,"phi_iar",-0.36200723661955
