"","phi","n","variable","value"
"1",-0.1,100,"phi_iar",-0.106062918908072
"2",-0.1,100,"phi_iar",0.0114936384566046
"3",-0.1,100,"phi_iar",0.104064989972692
"4",-0.1,100,"phi_iar",0.161040111267228
"5",-0.1,100,"phi_iar",-0.0572811253702437
"6",-0.1,100,"phi_iar",0.558194236869584
"7",-0.1,100,"phi_iar",-0.432507441932811
"8",-0.1,100,"phi_iar",-0.227729758511709
"9",-0.1,100,"phi_iar",0.02725361406146
"10",-0.1,100,"phi_iar",-0.157924066433375
"11",-0.1,100,"phi_iar",-0.291725917890389
"12",-0.1,100,"phi_iar",-0.0676734556696147
"13",-0.1,100,"phi_iar",0.180992554144232
"14",-0.1,100,"phi_iar",0.289147208698976
"15",-0.1,100,"phi_iar",0.357203742178725
"16",-0.1,100,"phi_iar",-0.0771096191581767
"17",-0.1,100,"phi_iar",-0.105732576096136
"18",-0.1,100,"phi_iar",-0.132554502070846
"19",-0.1,100,"phi_iar",-0.365664239916601
"20",-0.1,100,"phi_iar",-0.14127075548323
"21",-0.1,100,"phi_iar",0.119799636834894
"22",-0.1,100,"phi_iar",-0.00939707626736
"23",-0.1,100,"phi_iar",0.124206454441819
"24",-0.1,100,"phi_iar",-0.217868679706387
"25",-0.1,100,"phi_iar",0.0675925800273015
"26",-0.1,100,"phi_iar",-0.0629218433456624
"27",-0.1,100,"phi_iar",0.0877417088881361
"28",-0.1,100,"phi_iar",-0.58339667099817
"29",-0.1,100,"phi_iar",-0.0810623398670236
"30",-0.1,100,"phi_iar",-0.038906731123614
"31",-0.1,100,"phi_iar",-0.186048414812561
"32",-0.1,100,"phi_iar",-0.041554429489025
"33",-0.1,100,"phi_iar",0.287063525087156
"34",-0.1,100,"phi_iar",-0.356916970939396
"35",-0.1,100,"phi_iar",0.0571215628409461
"36",-0.1,100,"phi_iar",0.234101968964666
"37",-0.1,100,"phi_iar",-0.290249043053366
"38",-0.1,100,"phi_iar",-0.221243257478446
"39",-0.1,100,"phi_iar",-0.155908503892684
"40",-0.1,100,"phi_iar",-0.203379217475263
"41",-0.1,100,"phi_iar",-0.258254681149128
"42",-0.1,100,"phi_iar",-0.0829444967260239
"43",-0.1,100,"phi_iar",-0.0693791535931201
"44",-0.1,100,"phi_iar",0.129906675150444
"45",-0.1,100,"phi_iar",-0.0481020183921511
"46",-0.1,100,"phi_iar",-0.322182079930775
"47",-0.1,100,"phi_iar",-0.2121690468492
"48",-0.1,100,"phi_iar",0.497875857004788
"49",-0.1,100,"phi_iar",0.157539061832464
"50",-0.1,100,"phi_iar",-0.162481933732945
"51",-0.1,100,"phi_iar",-0.345739247409047
"52",-0.1,100,"phi_iar",-0.198992452010829
"53",-0.1,100,"phi_iar",-0.411890765871427
"54",-0.1,100,"phi_iar",-0.177020404612951
"55",-0.1,100,"phi_iar",0.0428578011734096
"56",-0.1,100,"phi_iar",-0.142428046385438
"57",-0.1,100,"phi_iar",0.153094900956036
"58",-0.1,100,"phi_iar",0.488636891193
"59",-0.1,100,"phi_iar",-0.265841654840877
"60",-0.1,100,"phi_iar",-0.425849216588489
"61",-0.1,100,"phi_iar",0.0177951812180208
"62",-0.1,100,"phi_iar",-0.472425817216181
"63",-0.1,100,"phi_iar",-0.0893413019699313
"64",-0.1,100,"phi_iar",-0.140766666789283
"65",-0.1,100,"phi_iar",-0.247376841530186
"66",-0.1,100,"phi_iar",-0.0823182006622398
"67",-0.1,100,"phi_iar",-0.318401725527909
"68",-0.1,100,"phi_iar",-0.283534736097584
"69",-0.1,100,"phi_iar",-0.11423798926541
"70",-0.1,100,"phi_iar",0.230965931564951
"71",-0.1,100,"phi_iar",-0.0213022993449402
"72",-0.1,100,"phi_iar",-0.0744152950402099
"73",-0.1,100,"phi_iar",-0.325922772878492
"74",-0.1,100,"phi_iar",-0.125231815445927
"75",-0.1,100,"phi_iar",-0.391618014931263
"76",-0.1,100,"phi_iar",-0.0198306270794683
"77",-0.1,100,"phi_iar",-0.101361495271586
"78",-0.1,100,"phi_iar",-0.230931140393646
"79",-0.1,100,"phi_iar",-0.438272070844146
"80",-0.1,100,"phi_iar",-0.201004971711944
"81",-0.1,100,"phi_iar",-0.263056043722877
"82",-0.1,100,"phi_iar",0.230122476061607
"83",-0.1,100,"phi_iar",-0.238919996183102
"84",-0.1,100,"phi_iar",0.269185550036099
"85",-0.1,100,"phi_iar",-0.110431406275359
"86",-0.1,100,"phi_iar",-0.142645378365709
"87",-0.1,100,"phi_iar",-0.322067865338498
"88",-0.1,100,"phi_iar",-0.267609076574204
"89",-0.1,100,"phi_iar",0.160374471834346
"90",-0.1,100,"phi_iar",0.24938756905696
"91",-0.1,100,"phi_iar",0.272382718196566
"92",-0.1,100,"phi_iar",0.0437366527382713
"93",-0.1,100,"phi_iar",-0.222909227294943
"94",-0.1,100,"phi_iar",0.0694206054901114
"95",-0.1,100,"phi_iar",0.346278136129054
"96",-0.1,100,"phi_iar",-0.0204177343737353
"97",-0.1,100,"phi_iar",0.27953872566068
"98",-0.1,100,"phi_iar",0.179286575858433
"99",-0.1,100,"phi_iar",-0.145345177210078
"100",-0.1,100,"phi_iar",-0.340446872524311
"101",-0.1,100,"phi_iar",-0.217936919958234
"102",-0.1,100,"phi_iar",0.0159590880224159
"103",-0.1,100,"phi_iar",0.184865996140564
"104",-0.1,100,"phi_iar",-0.0120525855853164
"105",-0.1,100,"phi_iar",-0.559229762117952
"106",-0.1,100,"phi_iar",-0.203738553264362
"107",-0.1,100,"phi_iar",-0.400284110606922
"108",-0.1,100,"phi_iar",0.391919911767249
"109",-0.1,100,"phi_iar",-0.209534065100207
"110",-0.1,100,"phi_iar",-0.278456137723553
"111",-0.1,100,"phi_iar",0.00661756569332093
"112",-0.1,100,"phi_iar",-0.129106832977946
"113",-0.1,100,"phi_iar",-0.176048119527007
"114",-0.1,100,"phi_iar",-0.203771995977661
"115",-0.1,100,"phi_iar",0.214595289595637
"116",-0.1,100,"phi_iar",-0.198584061046319
"117",-0.1,100,"phi_iar",-0.395490580123013
"118",-0.1,100,"phi_iar",-0.232165751572188
"119",-0.1,100,"phi_iar",0.382253387398659
"120",-0.1,100,"phi_iar",0.207743238245565
"121",-0.1,100,"phi_iar",-0.130194112312631
"122",-0.1,100,"phi_iar",-0.240526578716311
"123",-0.1,100,"phi_iar",0.421298383311008
"124",-0.1,100,"phi_iar",-0.371455947428487
"125",-0.1,100,"phi_iar",-0.242709701510729
"126",-0.1,100,"phi_iar",-0.302284613715944
"127",-0.1,100,"phi_iar",-0.205168870359044
"128",-0.1,100,"phi_iar",-0.317979457156675
"129",-0.1,100,"phi_iar",0.485960978676226
"130",-0.1,100,"phi_iar",-0.287687860022382
"131",-0.1,100,"phi_iar",-0.185296471693291
"132",-0.1,100,"phi_iar",0.570567971185725
"133",-0.1,100,"phi_iar",-0.403190558321676
"134",-0.1,100,"phi_iar",-0.387818586707527
"135",-0.1,100,"phi_iar",-0.179521121270588
"136",-0.1,100,"phi_iar",0.104529312390469
"137",-0.1,100,"phi_iar",-0.296231731684074
"138",-0.1,100,"phi_iar",-0.263771497146797
"139",-0.1,100,"phi_iar",0.469739578429871
"140",-0.1,100,"phi_iar",0.167696362880269
"141",-0.1,100,"phi_iar",0.327138066052743
"142",-0.1,100,"phi_iar",0.265173593186625
"143",-0.1,100,"phi_iar",-0.35616915235717
"144",-0.1,100,"phi_iar",-0.402834155858947
"145",-0.1,100,"phi_iar",0.283432531361209
"146",-0.1,100,"phi_iar",0.200898447918401
"147",-0.1,100,"phi_iar",0.225427142837738
"148",-0.1,100,"phi_iar",0.195514472353124
"149",-0.1,100,"phi_iar",0.107656967484877
"150",-0.1,100,"phi_iar",-0.154757968343997
"151",-0.1,100,"phi_iar",0.134514125262537
"152",-0.1,100,"phi_iar",-0.397158048919672
"153",-0.1,100,"phi_iar",-0.481269542717115
"154",-0.1,100,"phi_iar",-0.116799987228886
"155",-0.1,100,"phi_iar",-0.0380280577998152
"156",-0.1,100,"phi_iar",-0.0230004562290928
"157",-0.1,100,"phi_iar",0.0250142191757578
"158",-0.1,100,"phi_iar",0.054331987315313
"159",-0.1,100,"phi_iar",-0.262705785978264
"160",-0.1,100,"phi_iar",0.506561542500353
"161",-0.1,100,"phi_iar",0.176951543282241
"162",-0.1,100,"phi_iar",-0.115621580706613
"163",-0.1,100,"phi_iar",0.152770472798591
"164",-0.1,100,"phi_iar",0.100057809534156
"165",-0.1,100,"phi_iar",0.309176419937853
"166",-0.1,100,"phi_iar",0.523328424274926
"167",-0.1,100,"phi_iar",-0.303266598239551
"168",-0.1,100,"phi_iar",0.486166980424743
"169",-0.1,100,"phi_iar",-0.0567695754776892
"170",-0.1,100,"phi_iar",0.0546706475795427
"171",-0.1,100,"phi_iar",-0.210426589353164
"172",-0.1,100,"phi_iar",0.135118589537385
"173",-0.1,100,"phi_iar",0.15220947472027
"174",-0.1,100,"phi_iar",-0.259032742793791
"175",-0.1,100,"phi_iar",0.0559296813403256
"176",-0.1,100,"phi_iar",0.266715454307027
"177",-0.1,100,"phi_iar",-0.294714048767108
"178",-0.1,100,"phi_iar",0.336847150055331
"179",-0.1,100,"phi_iar",0.0278139196681337
"180",-0.1,100,"phi_iar",-0.304386489867926
"181",-0.1,100,"phi_iar",-0.0371615022201362
"182",-0.1,100,"phi_iar",-0.306705380135704
"183",-0.1,100,"phi_iar",0.138643431833205
"184",-0.1,100,"phi_iar",-0.133547664821576
"185",-0.1,100,"phi_iar",-0.224431936599834
"186",-0.1,100,"phi_iar",-0.156313729873486
"187",-0.1,100,"phi_iar",-0.0811663936479985
"188",-0.1,100,"phi_iar",-0.282527361120865
"189",-0.1,100,"phi_iar",0.0520981269639861
"190",-0.1,100,"phi_iar",0.255002657687319
"191",-0.1,100,"phi_iar",-0.189112730102319
"192",-0.1,100,"phi_iar",-0.401343527236883
"193",-0.1,100,"phi_iar",-0.122057857702442
"194",-0.1,100,"phi_iar",0.20112708939056
"195",-0.1,100,"phi_iar",0.0754403751017217
"196",-0.1,100,"phi_iar",0.136175855554676
"197",-0.1,100,"phi_iar",-0.0215673569823352
"198",-0.1,100,"phi_iar",0.379718939801363
"199",-0.1,100,"phi_iar",-0.15838682001763
"200",-0.1,100,"phi_iar",0.181600118150886
"201",-0.1,100,"phi_iar",-0.332590808411826
"202",-0.1,100,"phi_iar",0.0968669767895091
"203",-0.1,100,"phi_iar",-0.452689984102
"204",-0.1,100,"phi_iar",-0.365521622260953
"205",-0.1,100,"phi_iar",0.128815948108663
"206",-0.1,100,"phi_iar",0.230803419876348
"207",-0.1,100,"phi_iar",-0.0387711140734142
"208",-0.1,100,"phi_iar",0.163061029656897
"209",-0.1,100,"phi_iar",-0.0538423048246909
"210",-0.1,100,"phi_iar",-0.0638418408148995
"211",-0.1,100,"phi_iar",0.0855091484170895
"212",-0.1,100,"phi_iar",-0.350148397046931
"213",-0.1,100,"phi_iar",-0.284482581275201
"214",-0.1,100,"phi_iar",-0.252388986642665
"215",-0.1,100,"phi_iar",0.242208003724404
"216",-0.1,100,"phi_iar",0.00155378014196602
"217",-0.1,100,"phi_iar",-0.250152183152849
"218",-0.1,100,"phi_iar",0.278597269572947
"219",-0.1,100,"phi_iar",0.116460685230701
"220",-0.1,100,"phi_iar",-0.333361213812414
"221",-0.1,100,"phi_iar",0.18123316396966
"222",-0.1,100,"phi_iar",-0.431803307566947
"223",-0.1,100,"phi_iar",-0.21011565494128
"224",-0.1,100,"phi_iar",-0.550355559147119
"225",-0.1,100,"phi_iar",0.514163192048487
"226",-0.1,100,"phi_iar",-0.341388538421748
"227",-0.1,100,"phi_iar",-0.394150557982266
"228",-0.1,100,"phi_iar",-0.0859480572183128
"229",-0.1,100,"phi_iar",0.305114826282755
"230",-0.1,100,"phi_iar",-0.181570271333644
"231",-0.1,100,"phi_iar",0.293277965781429
"232",-0.1,100,"phi_iar",-0.274960040024984
"233",-0.1,100,"phi_iar",-0.215773201802947
"234",-0.1,100,"phi_iar",-0.289668321598613
"235",-0.1,100,"phi_iar",-0.40259258945883
"236",-0.1,100,"phi_iar",0.357985621825901
