"";"t_n";"x";"x_diff"
"1";1999;3,79;0
"2";2002;3,68;-0,11
"3";2005;3,83;0,15
"4";2007;3,78;-0,0500000000000003
"5";2010;3,77;-0,00999999999999979
"6";2013;3,62;-0,15
"7";2016;3,59;-0,0300000000000002
"8";2019;3,32;-0,27
"9";2022;3,33;0,0100000000000002
"10";2024;3,53;0,2
"11";2026;3,36;-0,17
"12";2027;3,24;-0,12
"13";2029;3,61;0,37
"14";2030;3,62;0,0100000000000002
"15";2032;3,56;-0,0600000000000001
"16";2033;3,42;-0,14
"17";2035;3,56;0,14
"18";2036;3,52;-0,04
"19";2038;3,61;0,0899999999999999
"20";2039;3,55;-0,0600000000000001
"21";2041;3,58;0,0300000000000002
"22";2042;3,74;0,16
"23";2043;3,71;-0,0300000000000002
"24";2044;3,79;0,0800000000000001
"25";2045;3,85;0,0600000000000001
"26";2046;3,78;-0,0700000000000003
"27";2047;3,465;-0,315
"28";2048;3,67;0,205
"29";2050;3,54;-0,13
"30";2052;3,34;-0,2
"31";2053;3,4;0,0600000000000001
"32";2055;3,18;-0,22
"33";2056;3,4;0,22
"34";2058;3,53;0,13
"35";2060;3,45;-0,0799999999999996
"36";2061;3,61;0,16
"37";2062;3,47;-0,14
"38";2064;3,83;0,36
"39";2065;3,48;-0,35
"40";2067;3,96;0,48
"41";2068;3,44;-0,52
"42";2070;3,57;0,13
"43";2072;3,85;0,28
"44";2073;3,77;-0,0800000000000001
"45";2075;3,85;0,0800000000000001
"46";2076;4,09;0,24
"47";2078;3,72;-0,37
"48";2079;3,82;0,0999999999999996
"49";2080;3,86;0,04
"50";2082;3,77;-0,0899999999999999
"51";2083;4,05;0,28
"52";2084;4,28;0,23
"53";2086;4,26;-0,0200000000000005
"54";2089;3,77;-0,49
"55";2092;4,07;0,3
"56";2094;4,07;0
"57";2096;3,76;-0,31
"58";2098;3,65;-0,11
"59";2102;3,3;-0,35
"60";2104;3,27;-0,0299999999999998
"61";2106;3,87;0,6
"62";2108;3,78;-0,0900000000000003
"63";2111;3,66;-0,12
"64";2114;3,61;-0,0500000000000003
"65";2117;3,68;0,0700000000000003
"66";2120;3,58;-0,1
"67";2124;3,85;0,27
"68";2127;3,73;-0,12
"69";2131;3,7;-0,0299999999999998
"70";2134;3,63;-0,0700000000000003
"71";2137;3,35;-0,28
"72";2140;3,34;-0,0100000000000002
"73";2143;3,39;0,0500000000000003
"74";2146;3,57;0,18
"75";2148;3,88;0,31
"76";2151;3,99;0,11
"77";2154;3,99;0
"78";2156;3,97;-0,02
"79";2159;4,2;0,23
"80";2162;4,23;0,0300000000000002
"81";2164;4,13;-0,100000000000001
"82";2167;4,22;0,0899999999999999
"83";2170;4,02;-0,2
"84";2173;4,04;0,0200000000000005
"85";2175;3,88;-0,16
"86";2178;3,87;-0,00999999999999979
"87";2181;3,76;-0,11
"88";2183;3,71;-0,0499999999999998
"89";2186;3,63;-0,0800000000000001
"90";2188;3,55;-0,0800000000000001
"91";2191;3,43;-0,12
"92";2192;3,49;0,0600000000000001
"93";2194;3,36;-0,13
"94";2196;3,61;0,25
"95";2198;3,56;-0,0499999999999998
